Model,Method,Confidence Level,Coverage,Average Interval Width
MLP,Gaussian Residual,0.8,0.8126036484245439,7.451382849668574
MLP,Split Conformal,0.8,0.8192371475953566,7.560020393757462
MLP,Gaussian Residual,0.9,0.8922056384742952,9.563746349038189
MLP,Split Conformal,0.9,0.8938640132669984,9.894448684701935
MLP,Gaussian Residual,0.95,0.9270315091210614,11.395906659568261
MLP,Split Conformal,0.95,0.9336650082918739,11.731102910625255
Random Forest,Gaussian Residual,0.8,0.7993366500829188,7.547249695601039
Random Forest,Split Conformal,0.8,0.8043117744610282,7.575885953632939
Random Forest,Gaussian Residual,0.9,0.8839137645107794,9.686790113702784
Random Forest,Split Conformal,0.9,0.8888888888888888,10.107572537724316
Random Forest,Gaussian Residual,0.95,0.9303482587064676,11.542522348230955
Random Forest,Split Conformal,0.95,0.9469320066334992,12.503955869590506
XGBoost,Gaussian Residual,0.8,0.7976782752902156,7.407330797467182
XGBoost,Split Conformal,0.8,0.7960199004975125,7.317373657226562
XGBoost,Gaussian Residual,0.9,0.8805970149253731,9.507206152150117
XGBoost,Split Conformal,0.9,0.8822553897180763,9.640877532958982
XGBoost,Gaussian Residual,0.95,0.9303482587064676,11.328534859571187
XGBoost,Split Conformal,0.95,0.9270315091210614,11.880464172363281
